1433471307.38, [-528, 1004, 4986], [-125, 3, 24], [-1, -1, -1, '-0.070', '-0.070', '-0.070']
1433471307.5, [-530, 1009, 4973], [-125, 2, 24], [-1, -1, -1, '-0.070', '-0.070', '-0.070']
1433471307.62, [-531, 1003, 4971], [-126, 2, 24], [-1, -1, -1, '-0.070', '-0.070', '-0.070']
1433471307.75, [-534, 1008, 4981], [-126, 3, 23], [-1, -1, -1, '-0.070', '-0.070', '-0.070']
1433471307.87, [-533, 1008, 4969], [-126, 3, 23], [-1, -1, -1, '-0.070', '-0.070', '-0.070']
1433471307.99, [-539, 1005, 4980], [-125, 3, 23], [-1, -1, -1, '-0.070', '-0.070', '-0.070']
1433471308.11, [-535, 1008, 4981], [-127, 4, 24], [-1, -1, -1, '-0.070', '-0.070', '-0.070']
1433471308.23, [-533, 1011, 4978], [-126, 3, 23], [-1, -1, -1, '-0.070', '-0.070', '-0.070']
1433471308.35, [-534, 1004, 4980], [-126, 3, 24], [-1, -1, -1, '-0.070', '-0.070', '-0.070']
1433471308.47, [-536, 1001, 4977], [-126, 3, 23], [-1, -1, -1, '-0.070', '-0.070', '-0.070']
1433471308.59, [-535, 1008, 4991], [-126, 3, 25], [-1, -1, -1, '-0.070', '-0.070', '-0.070']
1433471308.71, [-526, 1005, 4981], [-127, 3, 24], [-1, -1, -1, '-0.070', '-0.070', '-0.070']
1433471308.84, [-531, 1008, 4978], [-126, 3, 24], [-1, -1, -1, '-0.070', '-0.070', '-0.070']
1433471308.97, [-529, 1013, 4989], [-125, 3, 23], [-1, -1, -1, '-0.070', '-0.070', '-0.070']
1433471309.09, [-528, 1010, 4978], [-126, 2, 24], [-1, -1, -1, '-0.070', '-0.070', '-0.070']
1433471309.21, [-527, 1004, 4985], [-126, 3, 22], [-1, -1, -1, '-0.070', '-0.070', '-0.070']
1433471309.33, [-527, 1005, 4982], [-126, 3, 23], [-1, -1, -1, '-0.070', '-0.070', '-0.070']
1433471309.45, [-526, 1004, 4971], [-126, 3, 23], [-1, -1, -1, '-0.070', '-0.070', '-0.070']
1433471309.57, [-528, 1007, 4973], [-126, 2, 25], [-1, -1, -1, '-0.070', '-0.070', '-0.070']
1433471309.69, [-527, 1002, 4970], [-126, 2, 24], [-1, -1, -1, '-0.070', '-0.070', '-0.070']
1433471309.81, [-530, 1011, 4971], [-127, 3, 22], [-1, -1, -1, '-0.070', '-0.070', '-0.070']
1433471309.93, [-530, 1003, 4974], [-126, 3, 23], [-1, -1, -1, '-0.070', '-0.070', '-0.070']
1433471310.06, [-528, 1006, 4976], [-126, 3, 24], [-1, -1, -1, '-0.070', '-0.070', '-0.070']
1433471310.18, [-532, 1004, 4979], [-126, 5, 23], [-1, -1, -1, '-0.070', '-0.070', '-0.070']
1433471310.3, [-532, 1005, 4980], [-126, 3, 24], [-1, -1, -1, '-0.070', '-0.070', '-0.070']
1433471310.42, [-533, 1002, 4963], [-125, 2, 23], [-1, -1, -1, '-0.070', '-0.070', '-0.070']
1433471310.54, [-531, 1006, 4976], [-126, 3, 25], [-1, -1, -1, '-0.070', '-0.070', '-0.070']
1433471310.66, [-536, 1008, 4974], [-125, 3, 24], [-1, -1, -1, '-0.070', '-0.070', '-0.070']
1433471310.79, [-530, 1007, 4995], [-126, 3, 24], [-1, -1, -1, '-0.070', '-0.070', '-0.070']
1433471310.91, [-535, 1002, 4973], [-124, 2, 23], [-1, -1, -1, '-0.070', '-0.070', '-0.070']
1433471311.03, [-534, 1010, 4991], [-126, 2, 24], [-1, -1, -1, '-0.070', '-0.070', '-0.070']
1433471311.15, [-533, 1007, 4978], [-126, 3, 23], [-1, -1, -1, '-0.070', '-0.070', '-0.070']
