timestamp,speed,count,duration
2015-06-05 18:10:56.903989,13,171,0:17:33.264821
2015-06-05 18:10:58.791832,14,172,0:17:35.152664
2015-06-05 18:11:00.895852,,173,0:17:37.256684
2015-06-05 18:11:03.655810,16,174,0:17:40.016642
2015-06-05 18:11:03.863630,,175,0:17:40.224462
2015-06-05 18:11:06.951739,13,176,0:17:43.312571
2015-06-05 18:11:09.391688,15,177,0:17:45.752520
2015-06-05 18:11:11.839599,18,178,0:17:48.200431
2015-06-05 18:11:12.519414,,179,0:17:48.880246
2015-06-05 18:11:15.183520,16,180,0:17:51.544352
2015-06-05 18:11:15.367563,,181,0:17:51.728395
2015-06-05 18:11:18.775444,15,182,0:17:55.136276
2015-06-05 18:11:18.975417,,183,0:17:55.336249
2015-06-05 18:11:24.551283,18,184,0:18:00.912115
2015-06-05 18:11:51.010704,25,185,0:18:27.371536
2015-06-05 18:11:53.538520,24,186,0:18:29.899352
2015-06-05 18:11:57.018578,18,187,0:18:33.379410
2015-06-05 18:12:02.400531,16,188,0:18:38.761363
2015-06-05 18:12:04.592848,16,189,0:18:40.953680
2015-06-05 18:12:09.874512,16,190,0:18:46.235344
2015-06-05 18:12:11.506334,18,191,0:18:47.867166
2015-06-05 18:12:27.720709,,192,0:19:04.081541
2015-06-05 18:12:56.621454,17,193,0:19:32.982286
2015-06-05 18:13:02.895668,11,194,0:19:39.256500
2015-06-05 18:13:06.479461,12,195,0:19:42.840293
2015-06-05 18:13:07.543198,,196,0:19:43.904030
2015-06-05 18:13:08.639401,11,197,0:19:45.000233
2015-06-05 18:13:12.463453,10,198,0:19:48.824285
2015-06-05 18:13:53.503604,,199,0:20:29.864436
2015-06-05 18:13:55.639758,,200,0:20:32.000590
2015-06-05 18:13:57.375758,15,201,0:20:33.736590
2015-06-05 18:13:59.567695,,202,0:20:35.928527
2015-06-05 18:14:01.127701,12,203,0:20:37.488533
2015-06-05 18:14:02.991599,12,204,0:20:39.352431
2015-06-05 18:14:06.519401,11,205,0:20:42.880233
2015-06-05 18:14:06.751548,,206,0:20:43.112380
